,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
315,44181,DPW Maintained,Victorian Box,3731 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,12/15/00 0:00,8,,37.80435416,-122.4421061
316,97063,DPW Maintained,Brisbane Box,1599X Newcomb Ave,4.0,Sidewalk: Curb side : Cutout,SFUSD,,10,3x3,37.7351486,-122.3897551
317,224733,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',3590 19th St,2.0,Sidewalk: Curb side : Cutout,Private,,18,Width 3ft,37.7600382,-122.42338
319,2566,DPW Maintained,Victorian Box,1600 Bush St,1.0,Sidewalk: Curb side : Cutout,DPW,,11,4X4,37.78832822,-122.423765
321,140873,DPW Maintained,New Zealand Xmas Tree,66 Wood St,4.0,Sidewalk: Curb side : Cutout,Private,,5,Width 0ft,37.78272848,-122.4491116
324,27059,DPW Maintained,New Zealand Xmas Tree,801 Silver Ave,1.0,Sidewalk: Curb side : Cutout,DPW,,12,4x15,37.72893955,-122.4174397
325,133578,DPW Maintained,Sycamore: London Plane,250 Laurel St,6.0,Sidewalk: Curb side : Cutout,Private,,1,Width 3ft,37.78892983,-122.4504677
329,43773,DPW Maintained,Victorian Box,103 19th Ave,5.0,Sidewalk: Curb side : Cutout,Private,7/26/00 0:00,6,,37.78567623,-122.478781
331,102923,DPW Maintained,Victorian Box,1461 Pine St,1.0,Sidewalk: Curb side : Cutout,Private,3/12/13 0:00,1,3x3,37.78962626,-122.4198788
333,231293,DPW Maintained,New Zealand Xmas Tree,3820 25th St,3.0,Sidewalk: Curb side : Cutout,Private,,13,Width 2ft,37.75026409,-122.425502
336,130551,DPW Maintained,Southern Magnolia,3333 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,,14,Width 4ft,37.79046521,-122.4498548
338,127680,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',623 Powell St,1.0,Sidewalk: Curb side : Cutout,Private,,17,Width 4ft,37.79040981,-122.4089116
339,44312,DPW Maintained,Cherry Plum,2574 Broadway,1.0,Sidewalk: Curb side : Cutout,Private,3/2/01 0:00,5,,37.79379946,-122.4393364
344,103764,DPW Maintained,Kwanzan Flowering Cherry,90X Frank Norris St,3.0,Sidewalk: Curb side : Cutout,DPW,11/1/09 0:00,3,3x3,37.78927035,-122.4195758
345,234060,DPW Maintained,Victorian Box,1400 Utah St,1.0,Sidewalk: Curb side : Cutout,Private,,14,Width 4ft,37.75162404,-122.4053058
346,190183,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',20 Spear St,11.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.79323461,-122.3950955
348,235816,DPW Maintained,Cherry Plum,54 Sycamore St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 2ft,37.76267902,-122.4206246
349,213490,DPW Maintained,Kwanzan Flowering Cherry,600 Miramar Ave,2.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.72772453,-122.4580501
351,95337,Permitted Site,Sycamore: London Plane,855@Broadway Battery St,2.0,Sidewalk: Curb side : Cutout,Private,8/17/11 0:00,4,3x3,37.79909187,-122.4012351
352,105802,DPW Maintained,Victorian Box,2550 Fulton St,3.0,Sidewalk: Curb side : Cutout,Private,,20,6x9,37.77431738,-122.4592428
358,95966,DPW Maintained,Victorian Box,5500 Geary Blvd,1.0,Median :,DPW,3/12/11 0:00,2,,37.7805919,-122.4785275
360,229933,DPW Maintained,Southern Magnolia,651 29th St,3.0,Sidewalk: Curb side : Cutout,Private,,5,Width 2ft,37.74317641,-122.4343788
361,200897,DPW Maintained,Brisbane Box,4251 03rd St,4.0,Sidewalk: Curb side : Cutout,Private,,5,Width 0ft,37.73902624,-122.3890718
362,9871,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',1450X Gough St,4.0,Sidewalk: Curb side : Cutout,Private,,36,3X3,37.78688385,-122.4249126
366,76145,DPW Maintained,Brisbane Box,2999X Polk St,3.0,Sidewalk: Curb side : Cutout,SFUSD,11/16/96 0:00,6,4x4,37.8033776,-122.4241268
369,106083,DPW Maintained,Sycamore: London Plane,3444 Washington St,2.0,Sidewalk: Curb side : Cutout,Private,,21,,37.78966188,-122.4500681
370,48433,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',1190 Sacramento St,2.0,Sidewalk: Curb side : Cutout,Private,7/26/02 0:00,10,,37.79262622,-122.4124182
372,127709,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',1423 Taylor St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.79543007,-122.4133114
373,172200,DPW Maintained,Brisbane Box,399 Naples St,2.0,Sidewalk: Curb side : Cutout,Private,,0,Width 3ft,37.72253016,-122.4298478
375,130222,DPW Maintained,Brisbane Box,1661 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.79391181,-122.4227343
377,238531,DPW Maintained,Kwanzan Flowering Cherry,32 Gough St,1.0,Sidewalk: Curb side : Cutout,Private,,2,Width 3ft,37.77233688,-122.4209008
378,18719,DPW Maintained,New Zealand Xmas Tree,65X Roosevelt Way,7.0,Sidewalk: Curb side : Cutout,DPW,,12,3x3,37.76672106,-122.4372839
379,6085,Permitted Site,Victorian Box,1050X Broderick St,1.0,Sidewalk: Curb side : Cutout,Private,,6,4x4,37.77992553,-122.4404095
380,229042,DPW Maintained,Brisbane Box,567 29th St,1.0,Sidewalk: Curb side : Cutout,Private,,15,Width 3ft,37.74327272,-122.4325953
382,86403,DPW Maintained,Swamp Myrtle,1719 26th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,12/19/06 0:00,3,3x3,37.75532907,-122.4841614
384,130683,DPW Maintained,Southern Magnolia,2327 Pacific Ave,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.79216153,-122.4430756
385,235285,DPW Maintained,Victorian Box,84 Seward St,2.0,Sidewalk: Property side : Yard,Private,,4,Width 3ft,37.75867831,-122.4404787
387,133310,DPW Maintained,Sycamore: London Plane,2590 Green St,1.0,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.79542181,-122.4416082
390,200487,DPW Maintained,Brisbane Box,2701 03rd St,5.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.75513733,-122.3878246
391,237634,DPW Maintained,Cherry Plum,614 Noe St,2.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.75886302,-122.4326884
392,128089,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',103 North Point St,6.0,Sidewalk: Curb side : Cutout,Private,,14,Width 3ft,37.80696394,-122.4099387
393,179016,DPW Maintained,Kwanzan Flowering Cherry,70 Curtis St,1.0,Sidewalk: Curb side : Yard,Private,,2,Width 4ft,37.71368727,-122.4397842
394,229901,DPW Maintained,Southern Magnolia,1710 Diamond St,1.0,Sidewalk: Curb side : Yard,Private,,3,Width 4ft,37.74380593,-122.4356548
399,238351,DPW Maintained,Kwanzan Flowering Cherry,737 Sanchez St,7.0,Sidewalk: Curb side : Yard,Private,,8,Width 3ft,37.75768146,-122.4302476
